timestamp,datetime,service/carts/qps(2xx),service/carts/latency,service/catalogue/qps(2xx),service/catalogue/latency,service/front-end/qps(2xx),service/front-end/latency,service/orders/qps(2xx),service/orders/latency,service/payment/qps(2xx),service/payment/latency,service/shipping/qps(2xx),service/shipping/latency,service/user/qps(2xx),service/user/latency,service/front-end/qps(4xx/5xx),container/carts/CPU Usage,container/carts/MEM Usage,container/carts/FS Reads Bytes,container/carts/FS Writes Bytes,container/carts/Network Input Bytes,container/carts/Network Output Bytes,container/carts/Network Input Packets,container/carts/Network Output Packets,container/carts-db/CPU Usage,container/carts-db/MEM Usage,container/carts-db/FS Reads Bytes,container/carts-db/FS Writes Bytes,container/carts-db/Network Input Bytes,container/carts-db/Network Output Bytes,container/carts-db/Network Input Packets,container/carts-db/Network Output Packets,container/catalogue/CPU Usage,container/catalogue/MEM Usage,container/catalogue/FS Reads Bytes,container/catalogue/FS Writes Bytes,container/catalogue/Network Input Bytes,container/catalogue/Network Output Bytes,container/catalogue/Network Input Packets,container/catalogue/Network Output Packets,container/catalogue-db/CPU Usage,container/catalogue-db/MEM Usage,container/catalogue-db/FS Reads Bytes,container/catalogue-db/FS Writes Bytes,container/catalogue-db/Network Input Bytes,container/catalogue-db/Network Output Bytes,container/catalogue-db/Network Input Packets,container/catalogue-db/Network Output Packets,container/front-end/CPU Usage,container/front-end/MEM Usage,container/front-end/FS Reads Bytes,container/front-end/FS Writes Bytes,container/front-end/Network Input Bytes,container/front-end/Network Output Bytes,container/front-end/Network Input Packets,container/front-end/Network Output Packets,container/orders/CPU Usage,container/orders/MEM Usage,container/orders/FS Reads Bytes,container/orders/FS Writes Bytes,container/orders/Network Input Bytes,container/orders/Network Output Bytes,container/orders/Network Input Packets,container/orders/Network Output Packets,container/orders-db/CPU Usage,container/orders-db/MEM Usage,container/orders-db/FS Reads Bytes,container/orders-db/FS Writes Bytes,container/orders-db/Network Input Bytes,container/orders-db/Network Output Bytes,container/orders-db/Network Input Packets,container/orders-db/Network Output Packets,container/payment/CPU Usage,container/payment/MEM Usage,container/payment/FS Reads Bytes,container/payment/FS Writes Bytes,container/payment/Network Input Bytes,container/payment/Network Output Bytes,container/payment/Network Input Packets,container/payment/Network Output Packets,container/shipping/CPU Usage,container/shipping/MEM Usage,container/shipping/FS Reads Bytes,container/shipping/FS Writes Bytes,container/shipping/Network Input Bytes,container/shipping/Network Output Bytes,container/shipping/Network Input Packets,container/shipping/Network Output Packets,container/user/CPU Usage,container/user/MEM Usage,container/user/FS Reads Bytes,container/user/FS Writes Bytes,container/user/Network Input Bytes,container/user/Network Output Bytes,container/user/Network Input Packets,container/user/Network Output Packets,container/user-db/CPU Usage,container/user-db/MEM Usage,container/user-db/FS Reads Bytes,container/user-db/FS Writes Bytes,container/user-db/Network Input Bytes,container/user-db/Network Output Bytes,container/user-db/Network Input Packets,container/user-db/Network Output Packets,container/rabbitmq/CPU Usage,container/rabbitmq/MEM Usage,container/rabbitmq/FS Reads Bytes,container/rabbitmq/FS Writes Bytes,container/rabbitmq/Network Input Bytes,container/rabbitmq/Network Output Bytes,container/rabbitmq/Network Input Packets,container/rabbitmq/Network Output Packets,container/queue-master/CPU Usage,container/queue-master/MEM Usage,container/queue-master/FS Reads Bytes,container/queue-master/FS Writes Bytes,container/queue-master/Network Input Bytes,container/queue-master/Network Output Bytes,container/queue-master/Network Input Packets,container/queue-master/Network Output Packets,node/192.168.199.31:9100/System Load,node/192.168.199.31:9100/CPU Usage,node/192.168.199.31:9100/Memory Usage,node/192.168.199.31:9100/Disk Write,node/192.168.199.31:9100/Disk Read,node/192.168.199.31:9100/Network Received,node/192.168.199.31:9100/Network Transmitted,node/192.168.199.32:9100/System Load,node/192.168.199.32:9100/CPU Usage,node/192.168.199.32:9100/Memory Usage,node/192.168.199.32:9100/Disk Write,node/192.168.199.32:9100/Disk Read,node/192.168.199.32:9100/Network Received,node/192.168.199.32:9100/Network Transmitted,node/192.168.199.33:9100/System Load,node/192.168.199.33:9100/CPU Usage,node/192.168.199.33:9100/Memory Usage,node/192.168.199.33:9100/Disk Write,node/192.168.199.33:9100/Disk Read,node/192.168.199.33:9100/Network Received,node/192.168.199.33:9100/Network Transmitted,node/192.168.199.35:9100/System Load,node/192.168.199.35:9100/CPU Usage,node/192.168.199.35:9100/Memory Usage,node/192.168.199.35:9100/Disk Write,node/192.168.199.35:9100/Disk Read,node/192.168.199.35:9100/Network Received,node/192.168.199.35:9100/Network Transmitted
1626885000,2021-07-21 16:30:00,0,null,0,0.0025585765000002425,3.333333333333333,0.0013679281200000793,0,null,0,0.0034816949999996183,0,null,0,0.004549824000000591,0,0.0012990900259225143,328036352,0,0,205.9,1437.5,1.4925925925925925,0.888888888888889,0.003844971214817229,240185344,0,4672.474074074074,170.8740740740741,3264.862962962963,2.1,1.1296296296296298,0.0012716781407408253,16945152,null,null,97.62962962962963,135.32962962962964,0.22222222222222224,0.14814814814814814,0.0009512388888889813,464637952,0,0,142.54814814814816,1943.7851851851854,1.4962962962962965,1.2851851851851854,0.0019169226940740748,70184960,0,0,3327.1703703703706,42237.94074074074,32.7962962962963,22.914814814814815,0.0009447227681481199,326743654.4,0,0,745.6407407407407,3580.696296296296,3.3074074074074074,2.7259259259259263,0.0038593703629629774,292917248,0,5066.903703703704,187.8962962962963,3324.0851851851853,1.9814814814814816,1.3333333333333333,0.0012136074296296118,14966784,null,null,87.4888888888889,118.18148148148148,0.1925925925925926,0.12592592592592594,0.0008546382222225138,310603776,0,0,121.84444444444445,703.8851851851852,0.7,0.3777777777777778,0.0004833943555560702,22781952,null,null,140.06666666666666,235.82592592592593,0.7407407407407408,0.737037037037037,0.0027880258222222876,250073088,0,2184.5333333333333,129.34074074074076,1522.4814814814815,1.5666666666666667,1.1481481481481481,0.0079791514370371,110931968,0,0,80.81481481481482,264.9925925925926,0.5555555555555556,0.4740740740740741,0.0015735270074072915,289099776,0,0,399.07037037037037,542.162962962963,4.718518518518519,4.222222222222222,0.79,11.80000000000291,1271369728,422570.6666666666,7645.866666666666,44427.84074074074,127117.23703703705,1.01,26.566666666667537,2105647104,700962.1333333333,0,212524.65925925926,221698.10370370373,0.9,30.766666666673736,2707537920,643254.0444444444,0,233374.45925925928,198848.50740740745,0.12,6.000000000002123,2100523008,96119.46666666666,0,137141.68518518523,125696.82222222225
1626885001,2021-07-21 16:30:01,0,null,0,0.0025585765000002425,3.333333333333333,0.0013679281200000793,0,null,0,0.0034816949999996183,0,null,0,0.004549824000000591,0,0.0012990900259225143,328036352,0,0,205.9,1437.5,1.4925925925925925,0.888888888888889,0.003844971214817229,240185344,0,4672.474074074074,170.8740740740741,3264.862962962963,2.1,1.1296296296296298,0.0012580138111110905,16945152,null,null,98.25185185185187,135.92222222222225,0.23703703703703705,0.16296296296296298,0.0008787036333332994,464637952,0,0,177.94074074074075,2429.792592592593,1.8666666666666667,1.6074074074074074,0.0019413706170369792,70346342.4,0,0,3310.637037037037,42028.066666666666,32.58518518518519,22.75925925925926,0.0009616274844444206,326743654.4,0,0,743.8148148148148,3579.818518518519,3.2962962962962967,2.714814814814815,0.0039629762074074254,292917248,0,5036.562962962963,183.9777777777778,3316.5555555555557,1.937037037037037,1.3074074074074074,0.0012136074296296118,14966784,null,null,87.4888888888889,118.18148148148148,0.1925925925925926,0.12592592592592594,0.0008546382222225138,310603776,0,0,121.84444444444445,703.8851851851852,0.7,0.3777777777777778,0.0004833943555560702,22781952,null,null,140.06666666666666,235.82592592592593,0.7407407407407408,0.737037037037037,0.0027880258222222876,250073088,0,2184.5333333333333,129.34074074074076,1522.4814814814815,1.5666666666666667,1.1481481481481481,0.0079791514370371,110931968,0,0,80.81481481481482,264.9925925925926,0.5555555555555556,0.4740740740740741,0.0015548767148147733,289099776,0,0,384.5555555555556,521.8740740740741,4.548148148148148,4.062962962962963,0.79,11.80000000000291,1271369728,422570.6666666666,7645.866666666666,44427.84074074074,127117.23703703705,1.01,26.566666666667537,2105647104,700962.1333333333,0,212524.65925925926,221698.10370370373,0.9,30.766666666673736,2707537920,643254.0444444444,0,233374.45925925928,198848.50740740745,0.12,6.000000000002123,2100523008,96119.46666666666,0,137141.68518518523,125696.82222222225
1626885002,2021-07-21 16:30:02,0,null,0,0.0025585765000002425,3.333333333333333,0.0013679281200000793,0,null,0,0.0034816949999996183,0,null,0,0.004549824000000591,0,0.0012990900259225143,328036352,0,0,205.9,1437.5,1.4925925925925925,0.888888888888889,0.003844971214817229,240185344,0,4672.474074074074,170.8740740740741,3264.862962962963,2.1,1.1296296296296298,0.0012580138111110905,16945152,null,null,98.25185185185187,135.92222222222225,0.23703703703703705,0.16296296296296298,0.0008787036333332994,464637952,0,0,177.94074074074075,2429.792592592593,1.8666666666666667,1.6074074074074074,0.0019413706170369792,70346342.4,0,0,3310.637037037037,42028.066666666666,32.58518518518519,22.75925925925926,0.0009616274844444206,326743654.4,0,0,743.8148148148148,3579.818518518519,3.2962962962962967,2.714814814814815,0.0039629762074074254,292917248,0,5036.562962962963,183.9777777777778,3316.5555555555557,1.937037037037037,1.3074074074074074,0.0012136074296296118,14966784,null,null,87.4888888888889,118.18148148148148,0.1925925925925926,0.12592592592592594,0.0008546382222225138,310603776,0,0,121.84444444444445,703.8851851851852,0.7,0.3777777777777778,0.0004833943555560702,22781952,null,null,140.06666666666666,235.82592592592593,0.7407407407407408,0.737037037037037,0.0027880258222222876,250073088,0,2184.5333333333333,129.34074074074076,1522.4814814814815,1.5666666666666667,1.1481481481481481,0.0079791514370371,110931968,0,0,80.81481481481482,264.9925925925926,0.5555555555555556,0.4740740740740741,0.0015548767148147733,289099776,0,0,384.5555555555556,521.8740740740741,4.548148148148148,4.062962962962963,0.79,11.80000000000291,1271369728,422570.6666666666,7645.866666666666,44427.84074074074,127117.23703703705,1.01,26.566666666667537,2105647104,700962.1333333333,0,212524.65925925926,221698.10370370373,0.9,30.766666666673736,2707537920,643254.0444444444,0,233374.45925925928,198848.50740740745,0.12,6.000000000002123,2100523008,96119.46666666666,0,137141.68518518523,125696.82222222225
1626885003,2021-07-21 16:30:03,0,null,0,0.0025585765000002425,3.3333111118518266,0.0013644564936695692,0,null,0,0.0016416419999991663,0,null,0,0.004549824000000591,0,0.0012990900259225143,328036352,0,0,205.9,1437.5,1.4925925925925925,0.888888888888889,0.003844971214817229,240185344,0,4672.474074074074,170.8740740740741,3264.862962962963,2.1,1.1296296296296298,0.0012580138111110905,16945152,null,null,98.25185185185187,135.92222222222225,0.23703703703703705,0.16296296296296298,0.0008787036333332994,464637952,0,0,177.94074074074075,2429.792592592593,1.8666666666666667,1.6074074074074074,0.0019413706170369792,70346342.4,0,0,3310.637037037037,42028.066666666666,32.58518518518519,22.75925925925926,0.0009616274844444206,326743654.4,0,0,743.8148148148148,3579.818518518519,3.2962962962962967,2.714814814814815,0.0039629762074074254,292917248,0,5036.562962962963,183.9777777777778,3316.5555555555557,1.937037037037037,1.3074074074074074,0.0012136074296296118,14966784,null,null,87.4888888888889,118.18148148148148,0.1925925925925926,0.12592592592592594,0.0008546382222225138,310603776,0,0,121.84444444444445,703.8851851851852,0.7,0.3777777777777778,0.0004833943555560702,22781952,null,null,140.06666666666666,235.82592592592593,0.7407407407407408,0.737037037037037,0.0027880258222222876,250073088,0,2184.5333333333333,129.34074074074076,1522.4814814814815,1.5666666666666667,1.1481481481481481,0.0079791514370371,110931968,0,0,80.81481481481482,264.9925925925926,0.5555555555555556,0.4740740740740741,0.0015548767148147733,289099776,0,0,384.5555555555556,521.8740740740741,4.548148148148148,4.062962962962963,0.79,11.80000000000291,1271369728,422570.6666666666,7645.866666666666,44427.84074074074,127117.23703703705,1.01,26.566666666667537,2105647104,700962.1333333333,0,212524.65925925926,221698.10370370373,0.9,30.766666666673736,2707537920,643254.0444444444,0,233374.45925925928,198848.50740740745,0.12,6.000000000002123,2100523008,96119.46666666666,0,137141.68518518523,125696.82222222225
1626885004,2021-07-21 16:30:04,0,null,0,0.0025585765000002425,3.3333111118518266,0.0013644564936695692,0,null,0,0.0016416419999991663,0,null,0,0.004549824000000591,0,0.0012990900259225143,328036352,0,0,205.9,1437.5,1.4925925925925925,0.888888888888889,0.003844971214817229,240185344,0,4672.474074074074,170.8740740740741,3264.862962962963,2.1,1.1296296296296298,0.0012580138111110905,16945152,null,null,98.25185185185187,135.92222222222225,0.23703703703703705,0.16296296296296298,0.0008787036333332994,464637952,0,0,177.94074074074075,2429.792592592593,1.8666666666666667,1.6074074074074074,0.0019413706170369792,70346342.4,0,0,3310.637037037037,42028.066666666666,32.58518518518519,22.75925925925926,0.0009616274844444206,326743654.4,0,0,743.8148148148148,3579.818518518519,3.2962962962962967,2.714814814814815,0.0039629762074074254,292917248,0,5036.562962962963,183.9777777777778,3316.5555555555557,1.937037037037037,1.3074074074074074,0.0012136074296296118,14966784,null,null,87.4888888888889,118.18148148148148,0.1925925925925926,0.12592592592592594,0.0008546382222225138,310603776,0,0,121.84444444444445,703.8851851851852,0.7,0.3777777777777778,0.0004833943555560702,22781952,null,null,140.06666666666666,235.82592592592593,0.7407407407407408,0.737037037037037,0.0027880258222222876,250073088,0,2184.5333333333333,129.34074074074076,1522.4814814814815,1.5666666666666667,1.1481481481481481,0.0079791514370371,110931968,0,0,80.81481481481482,264.9925925925926,0.5555555555555556,0.4740740740740741,0.0015548767148147733,289099776,0,0,384.5555555555556,521.8740740740741,4.548148148148148,4.062962962962963,0.79,11.80000000000291,1271369728,422570.6666666666,7645.866666666666,44427.84074074074,127117.23703703705,1.01,26.566666666667537,2105647104,700962.1333333333,0,212524.65925925926,221698.10370370373,0.9,30.766666666673736,2707537920,643254.0444444444,0,233374.45925925928,198848.50740740745,0.12,6.000000000002123,2100523008,96119.46666666666,0,137141.68518518523,125696.82222222225
1626885005,2021-07-21 16:30:05,0,null,0,0.0025585765000002425,3.3333111118518266,0.0013644564936695692,0,null,0,0.0016416419999991663,0,null,0,0.004549824000000591,0,0.0012990900259225143,328036352,0,0,205.9,1437.5,1.4925925925925925,0.888888888888889,0.003844971214817229,240185344,0,4672.474074074074,170.8740740740741,3264.862962962963,2.1,1.1296296296296298,0.0012580138111110905,16945152,null,null,98.25185185185187,135.92222222222225,0.23703703703703705,0.16296296296296298,0.0008787036333332994,464637952,0,0,177.94074074074075,2429.792592592593,1.8666666666666667,1.6074074074074074,0.0019413706170369792,70346342.4,0,0,3310.637037037037,42028.066666666666,32.58518518518519,22.75925925925926,0.0009616274844444206,326743654.4,0,0,743.8148148148148,3579.818518518519,3.2962962962962967,2.714814814814815,0.0039629762074074254,292917248,0,5036.562962962963,183.9777777777778,3316.5555555555557,1.937037037037037,1.3074074074074074,0.0012136074296296118,14966784,null,null,87.4888888888889,118.18148148148148,0.1925925925925926,0.12592592592592594,0.0008546382222225138,310603776,0,0,121.84444444444445,703.8851851851852,0.7,0.3777777777777778,0.0004833943555560702,22781952,null,null,140.06666666666666,235.82592592592593,0.7407407407407408,0.737037037037037,0.0027880258222222876,250073088,0,2184.5333333333333,129.34074074074076,1522.4814814814815,1.5666666666666667,1.1481481481481481,0.0079791514370371,110931968,0,0,80.81481481481482,264.9925925925926,0.5555555555555556,0.4740740740740741,0.0015548767148147733,289099776,0,0,384.5555555555556,521.8740740740741,4.548148148148148,4.062962962962963,0.79,11.80000000000291,1271369728,422570.6666666666,7645.866666666666,44427.84074074074,127117.23703703705,1.01,26.566666666667537,2105647104,700962.1333333333,0,212524.65925925926,221698.10370370373,0.9,30.766666666673736,2707537920,643254.0444444444,0,233374.45925925928,198848.50740740745,0.12,6.000000000002123,2100523008,96119.46666666666,0,137141.68518518523,125696.82222222225
1626885006,2021-07-21 16:30:06,0,null,0,0.0025585765000002425,3.3333111118518266,0.0013644564936695692,0,null,0,0.0016416419999991663,0,null,0,0.004549824000000591,0,0.0012990900259225143,328036352,0,0,205.9,1437.5,1.4925925925925925,0.888888888888889,0.003844971214817229,240185344,0,4672.474074074074,170.8740740740741,3264.862962962963,2.1,1.1296296296296298,0.0012580138111110905,16945152,null,null,98.25185185185187,135.92222222222225,0.23703703703703705,0.16296296296296298,0.0008787036333332994,464637952,0,0,177.94074074074075,2429.792592592593,1.8666666666666667,1.6074074074074074,0.0019413706170369792,70346342.4,0,0,3310.637037037037,42028.066666666666,32.58518518518519,22.75925925925926,0.0009616274844444206,326743654.4,0,0,743.8148148148148,3579.818518518519,3.2962962962962967,2.714814814814815,0.0039629762074074254,292917248,0,5036.562962962963,183.9777777777778,3316.5555555555557,1.937037037037037,1.3074074074074074,0.0012136074296296118,14966784,null,null,87.4888888888889,118.18148148148148,0.1925925925925926,0.12592592592592594,0.0008546382222225138,310603776,0,0,121.84444444444445,703.8851851851852,0.7,0.3777777777777778,0.0004833943555560702,22781952,null,null,140.06666666666666,235.82592592592593,0.7407407407407408,0.737037037037037,0.0027880258222222876,250073088,0,2184.5333333333333,129.34074074074076,1522.4814814814815,1.5666666666666667,1.1481481481481481,0.0079791514370371,110931968,0,0,80.81481481481482,264.9925925925926,0.5555555555555556,0.4740740740740741,0.0015548767148147733,289099776,0,0,384.5555555555556,521.8740740740741,4.548148148148148,4.062962962962963,0.79,11.80000000000291,1271369728,422570.6666666666,7645.866666666666,44427.84074074074,127117.23703703705,1.01,26.566666666667537,2105647104,700962.1333333333,0,212524.65925925926,221698.10370370373,0.9,30.766666666673736,2707537920,643254.0444444444,0,233374.45925925928,198848.50740740745,0.12,6.000000000002123,2100523008,96119.46666666666,0,137141.68518518523,125696.82222222225
1626885007,2021-07-21 16:30:07,0,null,0,0.0025585765000002425,3.3333111118518266,0.0013644564936695692,0,null,0,0.0016416419999991663,0,null,0,0.004549824000000591,0,0.0012990900259225143,328036352,0,0,205.9,1437.5,1.4925925925925925,0.888888888888889,0.003844971214817229,240185344,0,4672.474074074074,170.8740740740741,3264.862962962963,2.1,1.1296296296296298,0.0012580138111110905,16945152,null,null,98.25185185185187,135.92222222222225,0.23703703703703705,0.16296296296296298,0.0008787036333332994,464637952,0,0,177.94074074074075,2429.792592592593,1.8666666666666667,1.6074074074074074,0.0019413706170369792,70346342.4,0,0,3310.637037037037,42028.066666666666,32.58518518518519,22.75925925925926,0.0009616274844444206,326743654.4,0,0,743.8148148148148,3579.818518518519,3.2962962962962967,2.714814814814815,0.0039629762074074254,292917248,0,5036.562962962963,183.9777777777778,3316.5555555555557,1.937037037037037,1.3074074074074074,0.0012136074296296118,14966784,null,null,87.4888888888889,118.18148148148148,0.1925925925925926,0.12592592592592594,0.0008546382222225138,310603776,0,0,121.84444444444445,703.8851851851852,0.7,0.3777777777777778,0.0004833943555560702,22781952,null,null,140.06666666666666,235.82592592592593,0.7407407407407408,0.737037037037037,0.0027880258222222876,250073088,0,2184.5333333333333,129.34074074074076,1522.4814814814815,1.5666666666666667,1.1481481481481481,0.0079791514370371,110931968,0,0,80.81481481481482,264.9925925925926,0.5555555555555556,0.4740740740740741,0.0015548767148147733,289099776,0,0,384.5555555555556,521.8740740740741,4.548148148148148,4.062962962962963,0.79,11.80000000000291,1271369728,422570.6666666666,7645.866666666666,44427.84074074074,127117.23703703705,1.01,26.566666666667537,2105647104,700962.1333333333,0,212524.65925925926,221698.10370370373,0.9,30.766666666673736,2707537920,643254.0444444444,0,233374.45925925928,198848.50740740745,0.12,6.000000000002123,2100523008,96119.46666666666,0,137141.68518518523,125696.82222222225
1626885008,2021-07-21 16:30:08,0,null,0,0.0025585765000002425,3.3332888903703206,0.0013686114682842883,0,null,0,0.0016416419999991663,0,null,0,0.004549824000000591,0,0.0012990900259225143,328036352,0,0,205.9,1437.5,1.4925925925925925,0.888888888888889,0.003844971214817229,240185344,0,4672.474074074074,170.8740740740741,3264.862962962963,2.1,1.1296296296296298,0.0012580138111110905,16945152,null,null,98.25185185185187,135.92222222222225,0.23703703703703705,0.16296296296296298,0.0008787036333332994,464637952,0,0,177.94074074074075,2429.792592592593,1.8666666666666667,1.6074074074074074,0.0019413706170369792,70346342.4,0,0,3310.637037037037,42028.066666666666,32.58518518518519,22.75925925925926,0.0009616274844444206,326743654.4,0,0,743.8148148148148,3579.818518518519,3.2962962962962967,2.714814814814815,0.0039629762074074254,292917248,0,5036.562962962963,183.9777777777778,3316.5555555555557,1.937037037037037,1.3074074074074074,0.0012136074296296118,14966784,null,null,87.4888888888889,118.18148148148148,0.1925925925925926,0.12592592592592594,0.0008546382222225138,310603776,0,0,121.84444444444445,703.8851851851852,0.7,0.3777777777777778,0.0004833943555560702,22781952,null,null,140.06666666666666,235.82592592592593,0.7407407407407408,0.737037037037037,0.0027880258222222876,250073088,0,2184.5333333333333,129.34074074074076,1522.4814814814815,1.5666666666666667,1.1481481481481481,0.0079791514370371,110931968,0,0,80.81481481481482,264.9925925925926,0.5555555555555556,0.4740740740740741,0.0015548767148147733,289099776,0,0,384.5555555555556,521.8740740740741,4.548148148148148,4.062962962962963,0.79,11.80000000000291,1271369728,422570.6666666666,7645.866666666666,44427.84074074074,127117.23703703705,1.01,26.566666666667537,2105647104,700962.1333333333,0,212524.65925925926,221698.10370370373,0.9,30.766666666673736,2707537920,643254.0444444444,0,233374.45925925928,198848.50740740745,0.12,6.000000000002123,2100523008,96119.46666666666,0,137141.68518518523,125696.82222222225
1626885009,2021-07-21 16:30:09,0,null,0,0.0025585765000002425,3.3332888903703206,0.0013686114682842883,0,null,0,0.0016416419999991663,0,null,0,0.004549824000000591,0,0.0012990900259225143,328036352,0,0,205.9,1437.5,1.4925925925925925,0.888888888888889,0.003844971214817229,240185344,0,4672.474074074074,170.8740740740741,3264.862962962963,2.1,1.1296296296296298,0.0012580138111110905,16945152,null,null,98.25185185185187,135.92222222222225,0.23703703703703705,0.16296296296296298,0.0008787036333332994,464637952,0,0,177.94074074074075,2429.792592592593,1.8666666666666667,1.6074074074074074,0.0019413706170369792,70346342.4,0,0,3310.637037037037,42028.066666666666,32.58518518518519,22.75925925925926,0.0009616274844444206,326743654.4,0,0,743.8148148148148,3579.818518518519,3.2962962962962967,2.714814814814815,0.0039629762074074254,292917248,0,5036.562962962963,183.9777777777778,3316.5555555555557,1.937037037037037,1.3074074074074074,0.0012136074296296118,14966784,null,null,87.4888888888889,118.18148148148148,0.1925925925925926,0.12592592592592594,0.0008546382222225138,310603776,0,0,121.84444444444445,703.8851851851852,0.7,0.3777777777777778,0.0004833943555560702,22781952,null,null,140.06666666666666,235.82592592592593,0.7407407407407408,0.737037037037037,0.0027880258222222876,250073088,0,2184.5333333333333,129.34074074074076,1522.4814814814815,1.5666666666666667,1.1481481481481481,0.0079791514370371,110931968,0,0,80.81481481481482,264.9925925925926,0.5555555555555556,0.4740740740740741,0.0015548767148147733,289099776,0,0,384.5555555555556,521.8740740740741,4.548148148148148,4.062962962962963,0.79,11.80000000000291,1271369728,422570.6666666666,7645.866666666666,44427.84074074074,127117.23703703705,1.01,26.566666666667537,2105647104,700962.1333333333,0,212524.65925925926,221698.10370370373,0.9,30.766666666673736,2707537920,643254.0444444444,0,233374.45925925928,198848.50740740745,0.12,6.000000000002123,2100523008,96119.46666666666,0,137141.68518518523,125696.82222222225
